Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
5.71%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.gestures.ScrollingLogic$nestedScrollScope$1.scrollByWithOverscroll-OzD1aCk
5.69%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.runtime.ComposerImpl$CompositionContextImpl.composeInitial$runtime_release
5.69%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.runtime.CompositionImpl.composeInitial
5.69%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.runtime.Recomposer.composeInitial$runtime_release
5.69%     0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::(anonymous namespace)::CheckJNI::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list) (.__uniq.99033978352804627313491551960229047428.llvm.3784361513875107091)
5.69%     0.00%  com.paifa.ubikitouch  31119  31119  /system/lib64/libandroid_runtime.so                                                                         _JNIEnv::CallVoidMethod(_jobject*, _jmethodID*, ...)
5.68%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.runtime.CompositionImpl.setContentWithReuse
5.66%     0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
5.66%     0.00%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
5.64%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.AndroidComposeView.measureAndLayout
5.63%     0.07%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::JNI<true>::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
5.62%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.lazy.layout.PrefetchHandleProvider$HandleAndRequestImpl.performComposition
